Window Size	Target Index	시작일	마지막일	기간(일)	시그널	누적 모델 수익률(연환산)	누적 BM 수익률(연환산)	누적 모델 수익률	누적 BM 수익률	펙터(#)	펙터
27	KOSPI	2007-01-31	2018-07-31	4199	SELL	0.22648973503040418	0.14667852329731115	2.6055627325826496	1.687405806370985	1	미국 설비가동률
27	KOSPI	2007-01-31	2018-07-31	4199	SELL	0.20989380097701263	0.14667852329731115	2.414641288499934	1.687405806370985	1	미국 산업생산
27	KOSPI	2007-01-31	2018-07-31	4199	SELL	0.20723505711110296	0.14667852329731115	2.3840548076973187	1.687405806370985	1	미국 민간소비 YoY
27	KOSPI	2007-01-31	2018-07-31	4199	SELL	0.20408886845849544	0.14667852329731115	2.3478607086499244	1.687405806370985	1	TED Spread
27	KOSPI	2007-01-31	2018-07-31	4199	SELL	0.20088050861562937	0.14667852329731115	2.3109513854165145	1.687405806370985	1	경기동행지수(원지수)
27	KOSPI	2007-01-31	2018-07-31	4199	SELL	0.19887404784914675	0.14667852329731115	2.287868840872787	1.687405806370985	1	유럽 소비자심리
27	KOSPI	2007-01-31	2018-07-31	4199	SELL	0.19887404784914675	0.14667852329731115	2.287868840872787	1.687405806370985	1	유로존 소비자신뢰지수
27	KOSPI	2007-01-31	2018-07-31	4199	SELL	0.1958262696207384	0.14667852329731115	2.2528068661300837	1.687405806370985	1	미국 총 설비가동률 대비 설비가동률(%) 계절조정
27	KOSPI	2007-01-31	2018-07-31	4199	SELL	0.19389874990784142	0.14667852329731115	2.2306324681178795	1.687405806370985	1	미국 경기선행지수 YOY
27	KOSPI	2007-01-31	2018-07-31	4199	SELL	0.19005977953320172	0.14667852329731115	2.1864685322189423	1.687405806370985	1	경기동행지수 YoY
27	KOSPI	2007-01-31	2018-07-31	4199	SELL	0.2133300918242142	0.14667852329731115	2.45417275498596	1.687405806370985	2	미국 설비가동률 & 미국 산업생산
27	KOSPI	2007-01-31	2018-07-31	4199	SELL	0.1984161273104492	0.14667852329731115	2.2826008728125373	1.687405806370985	2	미국 설비가동률 & 미국 민간소비 YoY
27	KOSPI	2007-01-31	2018-07-31	4199	SELL	0.22263068071583214	0.14667852329731115	2.561167748837751	1.687405806370985	2	미국 설비가동률 & TED Spread
27	KOSPI	2007-01-31	2018-07-31	4199	SELL	0.21656982899010607	0.14667852329731115	2.4914430463820696	1.687405806370985	2	미국 설비가동률 & 경기동행지수(원지수)
27	KOSPI	2007-01-31	2018-07-31	4199	SELL	0.25087563180670763	0.14667852329731115	2.886100761524289	1.687405806370985	2	미국 설비가동률 & 유럽 소비자심리
27	KOSPI	2007-01-31	2018-07-31	4199	SELL	0.25087563180670763	0.14667852329731115	2.886100761524289	1.687405806370985	2	미국 설비가동률 & 유로존 소비자신뢰지수
27	KOSPI	2007-01-31	2018-07-31	4199	SELL	0.20578124054346583	0.14667852329731115	2.3673299425808576	1.687405806370985	2	미국 설비가동률 & 미국 총 설비가동률 대비 설비가동률(%) 계절조정
27	KOSPI	2007-01-31	2018-07-31	4199	SELL	0.2142166521453251	0.14667852329731115	2.4643718420773153	1.687405806370985	2	미국 설비가동률 & 미국 경기선행지수 YOY
27	KOSPI	2007-01-31	2018-07-31	4199	SELL	0.25891610022479933	0.14667852329731115	2.9785991913532395	1.687405806370985	2	미국 설비가동률 & 경기동행지수 YoY
27	KOSPI	2007-01-31	2018-07-31	4199	SELL	0.21908697103871766	0.14667852329731115	2.520400524360481	1.687405806370985	2	미국 산업생산 & 미국 민간소비 YoY
27	KOSPI	2007-01-31	2018-07-31	4199	SELL	0.2615980428394174	0.14667852329731115	3.009452553103325	1.687405806370985	2	미국 산업생산 & TED Spread
27	KOSPI	2007-01-31	2018-07-31	4199	SELL	0.23962788695164444	0.14667852329731115	2.7567054720820687	1.687405806370985	2	미국 산업생산 & 경기동행지수(원지수)
27	KOSPI	2007-01-31	2018-07-31	4199	SELL	0.23963904048942714	0.14667852329731115	2.756833783603026	1.687405806370985	2	미국 산업생산 & 유럽 소비자심리
27	KOSPI	2007-01-31	2018-07-31	4199	SELL	0.23963904048942714	0.14667852329731115	2.756833783603026	1.687405806370985	2	미국 산업생산 & 유로존 소비자신뢰지수
27	KOSPI	2007-01-31	2018-07-31	4199	SELL	0.17288246515087158	0.14667852329731115	1.9888588251192048	1.687405806370985	2	미국 산업생산 & 미국 총 설비가동률 대비 설비가동률(%) 계절조정
27	KOSPI	2007-01-31	2018-07-31	4199	SELL	0.20863593357048044	0.14667852329731115	2.400170644006705	1.687405806370985	2	미국 산업생산 & 미국 경기선행지수 YOY
27	KOSPI	2007-01-31	2018-07-31	4199	SELL	0.19349995904839676	0.14667852329731115	2.2260447343677203	1.687405806370985	2	미국 산업생산 & 경기동행지수 YoY
27	KOSPI	2007-01-31	2018-07-31	4199	SELL	0.15515602459903913	0.14667852329731115	1.784931910387302	1.687405806370985	2	미국 민간소비 YoY & TED Spread
27	KOSPI	2007-01-31	2018-07-31	4199	SELL	0.23638765737372452	0.14667852329731115	2.719429515924025	1.687405806370985	2	미국 민간소비 YoY & 경기동행지수(원지수)
27	KOSPI	2007-01-31	2018-07-31	4199	SELL	0.19070077841408947	0.14667852329731115	2.193842653591128	1.687405806370985	2	미국 민간소비 YoY & 유럽 소비자심리
27	KOSPI	2007-01-31	2018-07-31	4199	SELL	0.19070077841408947	0.14667852329731115	2.193842653591128	1.687405806370985	2	미국 민간소비 YoY & 유로존 소비자신뢰지수
27	KOSPI	2007-01-31	2018-07-31	4199	SELL	0.19579778400324052	0.14667852329731115	2.2524791644646767	1.687405806370985	2	미국 민간소비 YoY & 미국 총 설비가동률 대비 설비가동률(%) 계절조정
27	KOSPI	2007-01-31	2018-07-31	4199	SELL	0.17219647261549334	0.14667852329731115	1.9809670918149493	1.687405806370985	2	미국 민간소비 YoY & 미국 경기선행지수 YOY
